user_input,response
quais as datas da Bienal Internacional do Livro de São Paulo?,"A Bienal Internacional do Livro de São Paulo geralmente acontece em julho. Para as datas exatas desta edição, consulte www.bienaldolivro.com.br. 📅"
a Bienal PE é em qual cidade?,A Bienal Internacional do Livro de Pernambuco é realizada em Recife (PE) – Centro de Convenções. Ótima oportunidade para conhecer a cidade também! 📍
quem é o homenageado da Bienal PE?,"A Bienal Internacional do Livro de Pernambuco já prestou homenagem a grandes nomes da literatura, como Clarice Lispector, João Cabral de Melo Neto e Ariano Suassuna. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.bienaldolivrope.com.br. 🏆"
quais autores já foram convidados para a Feira Unesp?,"A Feira do Livro da Unesp já recebeu como convidados nomes como Ailton Krenak e Milton Hatoum, entre outros autores. Os convidados de cada nova edição são anunciados em www.livraria.unesp.br. ✍️"
me conta sobre a FLIP – Festa Literária Internacional de Paraty,"A FLIP – Festa Literária Internacional de Paraty é um festival intimista e sofisticado realizado na histórica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programação. Acesse www.flip.org.br para mais informações. 📚"
quais as atividades da Feira do Livro POA?,"A Feira do Livro de Porto Alegre costuma oferecer: bate-papos com autores, mesas de debate, lançamentos de livros, oficinas literárias e espaços para crianças. A programação completa é divulgada em www.feiradolivro.com.br próximo ao evento. 🎤"
a FLIC já homenageou quais autores?,"A FLIC – Festa Literária de Belo Horizonte já prestou homenagem a grandes nomes da literatura, como Guimarães Rosa, Drummond de Andrade e Conceição Evaristo. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.flicbh.com.br. 🏆"
por que a Bienal Bahia é importante?,"A Bienal do Livro Bahia é fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o país. É uma experiência enriquecedora para qualquer amante da literatura! 🌟"
o que é a FLOR?,"A FLOR – Feira Literária do Orgulho e Resistência é uma feira literária dedicada a vozes LGBTQIA+, periféricas e de resistência, celebrando a diversidade e o poder transformador da literatura. Acesse www.feiraflor.com.br para mais informações. 📚"
precisa pagar para entrar na Flipoços?,"Os preços dos ingressos da Flipoços – Festa Literária de Poços de Caldas variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.flipocos.com.br. 🎟️"
quais escritores foram homenageados pela Festival Literário SC?,"A Festival Literário Catarinense já prestou homenagem a grandes nomes da literatura, como Salim Miguel, Antonieta de Barros e Cruz e Sousa. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.festivalliterariosc.com.br. 🏆"
qual o preço do ingresso para a Bienal Bahia?,"Os preços dos ingressos da Bienal do Livro Bahia variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldolivrobahia.com.br. 🎟️"
qual é o local da Flipoços?,A Flipoços – Festa Literária de Poços de Caldas é realizada em Poços de Caldas (MG). Ótima oportunidade para conhecer a cidade também! 📍
qual o endereço da Bienal Bahia?,"A Bienal do Livro Bahia acontece em: Centro de Convenções da Bahia – Av. Antônio Carlos Magalhães, s/n – Stiep, Salvador (BA) – CEP 41770-019. Mais detalhes logísticos em www.bienaldolivrobahia.com.br. 🗺️"
e aí,"Olá! 📚 Sou o ChatLitera, seu guia sobre feiras literárias brasileiras. Posso ajudar com datas, locais, programação, ingressos e muito mais. O que você quer saber?"
me explica o que é a FLIC,"A FLIC – Festa Literária de Belo Horizonte é um festival mineiro com forte identidade cultural, promovendo debates, oficinas e lançamentos de livros. Acesse www.flicbh.com.br para mais informações. 📚"
quando vai ser a Feira Unesp esse ano?,"A Feira do Livro da Unesp geralmente acontece em outubro. Para as datas exatas desta edição, consulte www.livraria.unesp.br. 📅"
quando é a bienal do livro?,"Temos várias Bienais do Livro no Brasil, cada uma com seu calendário próprio: São Paulo (julho), Rio de Janeiro (setembro), Bahia (outubro) e Pernambuco (outubro). Sobre qual delas você quer saber a data exata? 📅"
quanto custa o ingresso da FLIC?,"Os preços dos ingressos da FLIC – Festa Literária de Belo Horizonte variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.flicbh.com.br. 🎟️"
quando ocorre a Flipoços – Festa Literária de Poços de Caldas?,"A Flipoços – Festa Literária de Poços de Caldas geralmente acontece em agosto. Para as datas exatas desta edição, consulte www.flipocos.com.br. 📅"
quem recebeu homenagem na Feira do Livro da Unesp?,"A Feira do Livro da Unesp já prestou homenagem a grandes nomes da literatura, como Florestan Fernandes, Paulo Freire e Mário de Andrade. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.livraria.unesp.br. 🏆"
quais autores participam da Festival Literário Catarinense?,"A Festival Literário Catarinense já recebeu como convidados nomes como Conceição Evaristo, Milton Hatoum e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.festivalliterariosc.com.br. ✍️"
qual o preço do ingresso para a Bienal Rio?,"Os preços dos ingressos da Bienal do Rio de Janeiro variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldorio.com.br. 🎟️"
quais autores já foram convidados para a Bienal do Livro do Rio?,"A Bienal do Rio de Janeiro já recebeu como convidados nomes como Conceição Evaristo, Djamila Ribeiro e Milton Hatoum, entre outros. Os convidados de cada edição são anunciados em www.bienaldorio.com.br. ✍️"
o que é a Feira do Livro de Porto Alegre?,"A Feira do Livro de Porto Alegre é a mais antiga feira literária do Brasil, realizada ao ar livre na icônica Praça da Alfândega desde 1955. Acesse www.feiradolivro.com.br para mais informações. 📚"
me conta sobre a bienal do livro,"A Bienal do Livro é um grande festival cultural e literário que reúne editoras, livrarias, autores e leitores para celebrar a leitura. No Brasil temos várias: Bienal de São Paulo, Bienal do Rio de Janeiro, Bienal Bahia (Salvador) e Bienal de Pernambuco (Recife). Sobre qual delas você gostaria de saber mais? 📚"
qual o endereço da FLOR – Feira Literária do Orgulho e Resistência?,"O endereço da FLOR – Feira Literária do Orgulho e Resistência é: Largo do Arouche, s/n – República, São Paulo (SP) – CEP 01219-010 (Largo do Arouche e adjacências). Para informações de transporte e estacionamento, consulte www.feiraflor.com.br. 🗺️"
por que a Bienal do Livro SP é importante?,"A Bienal Internacional do Livro de São Paulo é fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o país. É uma experiência enriquecedora para qualquer amante da literatura! 🌟"
quem já participou da Bienal PE?,"A Bienal Internacional do Livro de Pernambuco já recebeu como convidados nomes como Djamila Ribeiro, Itamar Vieira Junior e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.bienaldolivrope.com.br. ✍️"
quem já foi convidado para a Feira do Livro POA?,"A Feira do Livro de Porto Alegre já recebeu como convidados nomes como Itamar Vieira Junior, Djamila Ribeiro e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.feiradolivro.com.br. ✍️"
vale a pena ir na Bienal Bahia?,"Com certeza! A Bienal do Livro Bahia é um dos maiores eventos literários do Nordeste, reunindo autores, editoras e leitores em Salvador com forte identidade cultural baiana. Confira a programação em www.bienaldolivrobahia.com.br e planeje sua visita! 🌟"
quais escritores foram homenageados pela FLIP?,"A FLIP – Festa Literária Internacional de Paraty já prestou homenagem a grandes nomes da literatura, como Guimarães Rosa, Hilda Hilst e Carlos Drummond de Andrade. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.flip.org.br. 🏆"
a Flipoços é paga?,"Os preços dos ingressos da Flipoços – Festa Literária de Poços de Caldas variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.flipocos.com.br. 🎟️"
qual o período da Festa Literária POA?,"A Festa Literária de Porto Alegre geralmente acontece em novembro. Para as datas exatas desta edição, consulte festaliterariaportaalegre.com.br. 📅"
onde fica a FLOR?,A FLOR – Feira Literária do Orgulho e Resistência é realizada em São Paulo (SP). Ótima oportunidade para conhecer a cidade também! 📍
o que é a FLOR – Feira Literária do Orgulho e Resistência?,"A FLOR – Feira Literária do Orgulho e Resistência é uma feira literária dedicada a vozes LGBTQIA+, periféricas e de resistência, celebrando a diversidade e o poder transformador da literatura. Acesse www.feiraflor.com.br para mais informações. 📚"
quais escritores costumam ir à Flipoços?,"A Flipoços – Festa Literária de Poços de Caldas já recebeu como convidados nomes como Itamar Vieira Junior, Milton Hatoum e Djamila Ribeiro, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.flipocos.com.br. ✍️"
o que é a Bienal Internacional do Livro de São Paulo?,"A Bienal Internacional do Livro de São Paulo é um dos maiores eventos literários da América Latina, reunindo editoras, autores e leitores do mundo inteiro. Acesse www.bienaldolivro.com.br para mais informações. 📚"
as feiras literárias são acessíveis para pessoas com deficiência?,"As grandes feiras, como a Bienal do Livro SP e a FLIP, têm se preocupado cada vez mais com acessibilidade, oferecendo rampas, intérpretes de Libras e materiais em Braille. Consulte os sites oficiais para detalhes de cada edição. ♿"
quanto vale um dólar hoje?,"Isso foge do meu domínio! Sou especialista em feiras literárias do Brasil. Posso ajudar com informações sobre Bienal, FLIP, FLIC e outros eventos. 📚"
você recomenda alguma feira para quem gosta de crônica?,"Para quem aprecia crônica, a Bienal do Livro SP costuma ter a maior variedade de títulos e lançamentos nesse estilo. A FLIP também tem mesas temáticas e debates sobre diferentes correntes literárias. Vale conferir a programação antes de ir! 📚"
grata,"Fico feliz em ajudar! 😊 Se tiver mais dúvidas sobre feiras literárias, é só perguntar."
boa tarde,"Olá! 📚 Sou o ChatLitera, seu guia sobre feiras literárias brasileiras. Posso ajudar com datas, locais, programação, ingressos e muito mais. O que você quer saber?"
por que a FLOR é importante?,"A FLOR – Feira Literária do Orgulho e Resistência é fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o país. É uma experiência enriquecedora para qualquer amante da literatura! 🌟"
qual a importância da FLOR?,"A FLOR – Feira Literária do Orgulho e Resistência é fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o país. É uma experiência enriquecedora para qualquer amante da literatura! 🌟"
fala sobre a Festival Literário SC,"A Festival Literário Catarinense é um dos principais festivais do Sul do Brasil, celebrando a literatura catarinense e nacional com debates, lançamentos e oficinas. Acesse www.festivalliterariosc.com.br para mais informações. 📚"
precisa pagar para entrar na Feira Unesp?,"Os preços dos ingressos da Feira do Livro da Unesp variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.livraria.unesp.br. 🎟️"
quem já participou da Bienal do Livro SP?,"A Bienal Internacional do Livro de São Paulo já recebeu como convidados nomes como Ailton Krenak, Milton Hatoum e Itamar Vieira Junior, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.bienaldolivro.com.br. ✍️"
por que a Bienal PE é importante?,"A Bienal Internacional do Livro de Pernambuco é fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o país. É uma experiência enriquecedora para qualquer amante da literatura! 🌟"
me conta sobre a Flipoços – Festa Literária de Poços de Caldas,"A Flipoços – Festa Literária de Poços de Caldas é um festival literário encantador na cidade das águas, com programação intimista e diversificada para leitores de todas as idades. Acesse www.flipocos.com.br para mais informações. 📚"
qual a programação da Bienal Rio?,"A Bienal do Rio de Janeiro costuma oferecer: bate-papos com autores, mesas de debate, lançamentos de livros, oficinas literárias e espaços para crianças. A programação completa é divulgada em www.bienaldorio.com.br próximo ao evento. 🎤"
como chegar na Festa Literária POA?,"O endereço da Festa Literária de Porto Alegre é: Usina do Gasômetro – Av. Presidente João Goulart, 551 – Centro Histórico, Porto Alegre (RS) – CEP 90010-310. Para informações de transporte e estacionamento, consulte festaliterariaportaalegre.com.br. 🗺️"
vale a pena ir na Feira do Livro POA?,"A Feira do Livro de Porto Alegre é fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o país. É uma experiência enriquecedora para qualquer amante da literatura! 🌟"
quais são as principais feiras literárias do Brasil?,"As principais feiras literárias do Brasil são: Bienal Internacional do Livro de SP, Bienal do Rio, FLIP (Paraty), FLIC (Belo Horizonte), Festa Literária POA, Feira do Livro de Porto Alegre, FLOR (São Paulo), Bienal Bahia, Bienal PE (Recife), Feira Unesp, Flipoços (Poços de Caldas) e Festival Literário Catarinense. Cada uma tem sua identidade única! 📚"
quem foi homenageado na Bienal Bahia?,"A Bienal do Livro Bahia já prestou homenagem a grandes nomes da literatura, como Jorge Amado, Ariano Suassuna e Conceição Evaristo. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.bienaldolivrobahia.com.br. 🏆"
me diz autores que já foram na Bienal Bahia,"A Bienal do Livro Bahia já recebeu como convidados nomes como Itamar Vieira Junior, Milton Hatoum e Djamila Ribeiro, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.bienaldolivrobahia.com.br. ✍️"
quem recebeu homenagem na Festa Literária de Porto Alegre?,"A Festa Literária de Porto Alegre já prestou homenagem a grandes nomes da literatura, como Rubem Braga, Moacyr Scliar e Érico Veríssimo. O autor ou autora homenageado(a) de cada edição é anunciado(a) em festaliterariaportaalegre.com.br. 🏆"
tem como me informar sobre a Bienal Bahia?,"Claro! A Bienal do Livro Bahia acontece em outubro, em Salvador (BA) – Centro de Convenções. Para mais detalhes, acesse www.bienaldolivrobahia.com.br. 📚"
quem são os homenageados da Bienal Rio?,"A Bienal do Rio de Janeiro já prestou homenagem a grandes nomes da literatura, como Machado de Assis, Clarice Lispector e Graciliano Ramos. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.bienaldorio.com.br. 🏆"
quero saber tudo sobre a FLIP,"A FLIP – Festa Literária Internacional de Paraty é um festival intimista e sofisticado realizado na histórica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programação. Ocorre em julho/agosto em Paraty (RJ). Mais informações em www.flip.org.br."
me conta sobre a Festival Literário Catarinense,"A Festival Literário Catarinense é um dos principais festivais do Sul do Brasil, celebrando a literatura catarinense e nacional com debates, lançamentos e oficinas. Acesse www.festivalliterariosc.com.br para mais informações. 📚"
como chegar na Bienal Rio?,"O endereço da Bienal do Rio de Janeiro é: Av. Salvador Allende, 6555 – Barra da Tijuca, Rio de Janeiro (RJ) – CEP 22783-127 (Riocentro, Pavilhão 3). Para informações de transporte e estacionamento, consulte www.bienaldorio.com.br. 🗺️"
tem bate-papo com autores na Feira do Livro POA?,"A Feira do Livro de Porto Alegre costuma oferecer: bate-papos com autores, mesas de debate, lançamentos de livros, oficinas literárias e espaços para crianças. A programação completa é divulgada em www.feiradolivro.com.br próximo ao evento. 🎤"
onde acontece a Bienal do Livro SP?,A Bienal Internacional do Livro de São Paulo é realizada em São Paulo (SP) – Pavilhão do Anhembi. Ótima oportunidade para conhecer a cidade também! 📍
qual o resultado do jogo de ontem?,"Desculpe, meu foco são as feiras literárias brasileiras! Posso ajudar com datas, autores, ingressos e programação de eventos literários. 📚"
quem já participou da Festival Literário SC?,"A Festival Literário Catarinense já recebeu como convidados nomes como Conceição Evaristo, Djamila Ribeiro e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.festivalliterariosc.com.br. ✍️"
qual o endereço completo da FLIP?,"O endereço da FLIP – Festa Literária Internacional de Paraty é: Praça da Matriz, s/n – Centro Histórico, Paraty (RJ) – CEP 23970-000 (Casa da Cultura de Paraty e espaços do centro histórico). Para informações de transporte e estacionamento, consulte www.flip.org.br. 🗺️"
me conta sobre a Feira do Livro de Porto Alegre,"A Feira do Livro de Porto Alegre é a mais antiga feira literária do Brasil, realizada ao ar livre na icônica Praça da Alfândega desde 1955. Acesse www.feiradolivro.com.br para mais informações. 📚"
qual o período da Feira do Livro POA?,"A Feira do Livro de Porto Alegre geralmente acontece em outubro/novembro. Para as datas exatas desta edição, consulte www.feiradolivro.com.br. 📅"
quais autores já foram convidados para a Flipoços?,"A Flipoços – Festa Literária de Poços de Caldas já recebeu como convidados nomes como Conceição Evaristo e Djamila Ribeiro, entre outros autores. Os convidados de cada nova edição são anunciados em www.flipocos.com.br. ✍️"
qual a importância da Bienal PE?,"A Bienal Internacional do Livro de Pernambuco é fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o país. É uma experiência enriquecedora para qualquer amante da literatura! 🌟"
me dá o endereço da Bienal do Livro SP,"O endereço da Bienal Internacional do Livro de São Paulo é: Av. Olavo Fontoura, 1209 – Santana, São Paulo (SP) – CEP 02012-021 (Pavilhão do Anhembi). Para informações de transporte e estacionamento, consulte www.bienaldolivro.com.br. 🗺️"
quais autores já foram convidados para a FLIC?,"A FLIC – Festa Literária de Belo Horizonte já recebeu como convidados nomes como Ailton Krenak, Milton Hatoum e Itamar Vieira Junior, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.flicbh.com.br. ✍️"
o que tem na Festa Literária POA?,"A Festa Literária de Porto Alegre costuma oferecer: bate-papos com autores, mesas de debate, lançamentos de livros, oficinas literárias e espaços para crianças. A programação completa é divulgada em festaliterariaportaalegre.com.br próximo ao evento. 🎤"
qual a data da Festival Literário SC?,"A Festival Literário Catarinense geralmente acontece em setembro. Para as datas exatas desta edição, consulte www.festivalliterariosc.com.br. 📅"
onde fica a Bienal PE?,A Bienal Internacional do Livro de Pernambuco é realizada em Recife (PE) – Centro de Convenções. Ótima oportunidade para conhecer a cidade também! 📍
quando é a Bienal do Livro de São Paulo?,A Bienal Internacional do Livro de São Paulo geralmente acontece em julho. Consulte www.bienaldolivro.com.br para as datas exatas. 📅
qual o local exato da Feira Unesp?,"O endereço da Feira do Livro da Unesp é: Rua Quirino de Andrade, 215 – Centro, São Paulo (SP) – CEP 01049-010 (Editora Unesp / Livraria da Unesp). Para informações de transporte e estacionamento, consulte www.livraria.unesp.br. 🗺️"
vale a pena ir na FLIP?,"Com certeza! A FLIP – Festa Literária Internacional de Paraty é um festival intimista e sofisticado realizado na histórica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programação. Confira a programação em www.flip.org.br e planeje sua visita! 🌟"
quanto é o ticket da Bienal Bahia?,"Os preços dos ingressos da Bienal do Livro Bahia variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldolivrobahia.com.br. 🎟️"
você recomenda alguma feira para quem gosta de thriller?,"Para quem aprecia thriller, a Bienal do Livro SP costuma ter a maior variedade de títulos e lançamentos nesse estilo. A FLIP também tem mesas temáticas e debates sobre diferentes correntes literárias. Vale conferir a programação antes de ir! 📚"
quais as datas da FLOR – Feira Literária do Orgulho e Resistência?,"A FLOR – Feira Literária do Orgulho e Resistência geralmente acontece em junho. Para as datas exatas desta edição, consulte www.feiraflor.com.br. 📅"
quais as atividades da Flipoços?,"A Flipoços – Festa Literária de Poços de Caldas costuma oferecer: bate-papos com autores, mesas de debate, lançamentos de livros, oficinas literárias e espaços para crianças. A programação completa é divulgada em www.flipocos.com.br próximo ao evento. 🎤"
a Bienal Rio é em qual cidade?,A Bienal do Rio de Janeiro é realizada em Rio de Janeiro (RJ) – Riocentro. Ótima oportunidade para conhecer a cidade também! 📍
a FLOR já homenageou quais autores?,"A FLOR – Feira Literária do Orgulho e Resistência já prestou homenagem a grandes nomes da literatura, como Cassandra Rios, Caio Fernando Abreu e João Silvério Trevisan. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.feiraflor.com.br. 🏆"
quem recebeu homenagem na Feira do Livro de Porto Alegre?,"A Feira do Livro de Porto Alegre já prestou homenagem a grandes nomes da literatura, como Josué Guimarães, Érico Veríssimo e Rubem Alves. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.feiradolivro.com.br. 🏆"
qual o endereço da Bienal do Livro do Rio?,"O endereço da Bienal do Rio de Janeiro é: Av. Salvador Allende, 6555 – Barra da Tijuca, Rio de Janeiro (RJ) – CEP 22783-127 (Riocentro, Pavilhão 3). Para informações de transporte e estacionamento, consulte www.bienaldorio.com.br. 🗺️"
tem como me informar sobre a Bienal PE?,"Claro! A Bienal Internacional do Livro de Pernambuco acontece em outubro, em Recife (PE) – Centro de Convenções. Para mais detalhes, acesse www.bienaldolivrope.com.br. 📚"
quais escritores já estiveram na Bienal Rio?,"A Bienal do Rio de Janeiro já recebeu como convidados nomes como Djamila Ribeiro, Conceição Evaristo e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.bienaldorio.com.br. ✍️"
qual o endereço da Flipoços?,"O endereço da Flipoços – Festa Literária de Poços de Caldas é: Thermas Antonio Carlos – Av. Francisco Salles, 544 – Centro, Poços de Caldas (MG) – CEP 37701-366. Para informações de transporte e estacionamento, consulte www.flipocos.com.br. 🗺️"
qual o endereço da FLIC – Festa Literária de Belo Horizonte?,"O endereço da FLIC – Festa Literária de Belo Horizonte é: Praça da Liberdade, s/n – Funcionários, Belo Horizonte (MG) – CEP 30140-010 (Circuito Liberdade). Para informações de transporte e estacionamento, consulte www.flicbh.com.br. 🗺️"
qual o preço do ingresso para a FLOR?,"Os preços dos ingressos da FLOR – Feira Literária do Orgulho e Resistência variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.feiraflor.com.br. 🎟️"
em que mês acontece a Bienal Rio?,"A Bienal do Rio de Janeiro geralmente acontece em setembro. Para as datas exatas desta edição, consulte www.bienaldorio.com.br. 📅"
qual o local exato da Bienal do Livro SP?,"O endereço da Bienal Internacional do Livro de São Paulo é: Av. Olavo Fontoura, 1209 – Santana, São Paulo (SP) – CEP 02012-021 (Pavilhão do Anhembi). Para informações de transporte e estacionamento, consulte www.bienaldolivro.com.br. 🗺️"
quando ocorre a Bienal do Rio de Janeiro?,"A Bienal do Rio de Janeiro geralmente acontece em setembro. Para as datas exatas desta edição, consulte www.bienaldorio.com.br. 📅"
quais autores já foram convidados para a FLOR?,"A FLOR – Feira Literária do Orgulho e Resistência já recebeu como convidados nomes como Conceição Evaristo e Itamar Vieira Junior, entre outros autores. Os convidados de cada nova edição são anunciados em www.feiraflor.com.br. ✍️"
em que rua fica a FLIP?,"O endereço da FLIP – Festa Literária Internacional de Paraty é: Praça da Matriz, s/n – Centro Histórico, Paraty (RJ) – CEP 23970-000 (Casa da Cultura de Paraty e espaços do centro histórico). Para informações de transporte e estacionamento, consulte www.flip.org.br. 🗺️"
quais escritores foram homenageados pela Feira do Livro POA?,"A Feira do Livro de Porto Alegre já prestou homenagem a grandes nomes da literatura, como Lya Luft, Josué Guimarães e Rubem Alves. O autor ou autora homenageado(a) de cada edição é anunciado(a) em www.feiradolivro.com.br. 🏆"
a Festa Literária de Porto Alegre cobra entrada?,"Os preços dos ingressos da Festa Literária de Porto Alegre variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em festaliterariaportaalegre.com.br. 🎟️"
tem bate-papo com autores na FLOR?,"A FLOR – Feira Literária do Orgulho e Resistência costuma oferecer: bate-papos com autores, mesas de debate, lançamentos de livros, oficinas literárias e espaços para crianças. A programação completa é divulgada em www.feiraflor.com.br próximo ao evento. 🎤"
onde acontece a Feira do Livro POA?,A Feira do Livro de Porto Alegre é realizada em Porto Alegre (RS) – Praça da Alfândega. Ótima oportunidade para conhecer a cidade também! 📍
qual o endereço completo da Bienal Bahia?,"O endereço da Bienal do Livro Bahia é: Centro de Convenções da Bahia – Av. Antônio Carlos Magalhães, s/n – Stiep, Salvador (BA) – CEP 41770-019. Para informações de transporte e estacionamento, consulte www.bienaldolivrobahia.com.br. 🗺️"
quero saber tudo sobre a FLIC,"A FLIC – Festa Literária de Belo Horizonte é um festival mineiro com forte identidade cultural, promovendo debates, oficinas e lançamentos de livros. Ocorre em junho em Belo Horizonte (MG). Mais informações em www.flicbh.com.br."
vale a pena ir na Festa Literária POA?,"Com certeza! A Festa Literária de Porto Alegre é um dos principais eventos literários do Sul do Brasil, com intensa programação de autores regionais e nacionais. Confira a programação em festaliterariaportaalegre.com.br e planeje sua visita! 🌟"
bom dia,"Olá! 📚 Sou o ChatLitera, seu guia sobre feiras literárias brasileiras. Posso ajudar com datas, locais, programação, ingressos e muito mais. O que você quer saber?"
onde acontece a Bienal Rio?,A Bienal do Rio de Janeiro é realizada em Rio de Janeiro (RJ) – Riocentro. Ótima oportunidade para conhecer a cidade também! 📍
onde é realizada a Feira do Livro de Porto Alegre?,A Feira do Livro de Porto Alegre é realizada em Porto Alegre (RS) – Praça da Alfândega. Ótima oportunidade para conhecer a cidade também! 📍
me fale sobre a Bienal Rio,"A Bienal do Rio de Janeiro é um dos eventos mais aguardados do Rio, com lançamentos exclusivos e encontros com grandes autores brasileiros e internacionais. Acesse www.bienaldorio.com.br para mais informações. 📚"
